team,ARI,ATL,BAL,BUF,CAR,CHI,CIN,CLE,DAL,DEN,DET,GB,HOU,IND,JAX,KC,LAC,LAR,LV,MIA,MIN,NE,NO,NYG,NYJ,PHI,PIT,SEA,SF,TB,TEN,WAS
ARI,0,-2,-2,-1,-3,0,-1,1,3,-2,-6,-2,-2,-1,1,-2,-1,-13,0,-1,-3,-2,0,2,3,0,0,-10,2,-1,1,-2
ATL,2,0,-2,-1,4,0,-2,0,-1,1,0,2,0,-1,1,-3,-4,1,3,-1,-2,-4,-2,3,2,-2,-3,-2,1,2,-2,-2
BAL,2,2,0,0,0,1,5,8,1,4,2,1,5,2,1,-5,3,0,-1,3,1,-1,0,0,2,1,-7,2,2,3,0,1
BUF,1,1,0,0,1,0,0,2,2,3,3,0,-3,1,1,1,0,2,2,11,0,-1,1,2,6,-3,3,1,3,2,2,3
CAR,3,-4,0,-1,0,-4,-1,-2,-1,-2,1,-1,3,-2,-1,-3,1,-1,-1,0,-3,-1,-9,0,3,-2,-2,-4,-1,-8,0,-2
CHI,0,0,-1,0,4,0,3,0,0,0,-2,-13,0,-3,1,-2,-2,-1,2,-2,-4,-1,-4,1,0,-4,1,1,-1,-2,-1,0
CIN,1,2,-5,0,1,-3,0,0,-2,0,1,-3,-2,2,2,-1,-4,-1,3,2,0,-3,0,-1,1,1,-8,0,-1,2,2,-3
CLE,-1,0,-8,-2,2,0,0,0,-1,-1,-1,-1,1,1,2,-4,-4,-2,-3,-1,-1,-5,-3,-1,-2,-1,-7,-2,-1,0,-2,0
DAL,-3,1,-1,-2,1,0,2,1,0,-3,3,-5,-1,0,0,1,0,0,1,0,2,1,0,12,1,2,1,-1,-1,2,0,10
DEN,2,-1,-4,-3,2,0,0,1,3,0,1,1,2,0,1,-12,2,-2,-4,-1,0,-2,1,1,2,-1,-2,-1,0,1,-1,0
DET,6,0,-2,-3,-1,2,-1,1,-3,-1,0,0,-1,1,4,-1,2,0,0,0,-2,0,0,3,0,-1,-1,-4,-2,1,-1,2
GB,2,-2,-1,0,1,13,3,1,5,-1,0,0,3,-1,3,1,0,4,0,3,-4,0,1,2,0,-3,0,4,0,-1,0,0
HOU,2,0,-5,3,-3,0,2,-1,1,-2,1,-3,0,-1,10,-3,2,-3,1,0,-3,-2,0,-2,-2,-2,0,-3,-1,1,2,0
IND,1,1,-2,-1,2,3,-2,-1,0,0,-1,1,1,0,-6,-1,0,-4,2,3,0,1,-2,-1,3,-2,-4,-3,1,-1,4,0
JAX,-1,-1,-1,-1,1,-1,-2,-2,0,-1,-4,-3,-10,6,0,-5,1,-3,1,0,-3,0,0,0,1,-3,1,-1,-2,-2,-2,-2
KC,2,3,5,-1,3,2,1,4,-1,12,1,-1,3,1,5,0,10,0,12,4,2,2,3,1,2,0,1,0,5,1,-3,3
LAC,1,4,-3,0,-1,2,4,4,0,-2,-2,0,-2,0,-1,-10,0,0,4,-1,0,-3,-1,1,3,1,1,0,0,-3,3,1
LAR,13,-1,0,-2,1,1,1,2,0,2,0,-4,3,4,3,0,0,0,3,-3,3,0,3,3,1,-5,-2,5,-5,3,1,1
LV,0,-3,1,-2,1,-2,-3,3,-1,4,0,0,-1,-2,-1,-12,-4,-3,0,-2,-2,1,2,0,2,-1,-1,0,-2,-1,1,-3
MIA,1,1,-3,-11,0,2,-2,1,0,1,0,-3,0,-3,0,-4,1,3,2,0,-2,2,1,1,12,0,-1,-3,2,-1,-2,1
MIN,3,2,-1,0,3,4,0,1,-2,0,2,4,3,0,3,-2,0,-3,2,2,0,0,3,4,3,-3,-1,-2,1,-1,1,3
NE,2,4,1,1,1,1,3,5,-1,2,0,0,2,-1,0,-2,3,0,-1,-2,0,0,0,1,16,-1,4,-3,-1,1,0,0
NO,0,2,0,-1,9,4,0,3,0,-1,0,-1,0,2,0,-3,1,-3,-2,-1,-3,0,0,2,3,0,0,3,-1,1,2,2
NYG,-2,-3,0,-2,0,-1,1,1,-12,-1,-3,-2,2,1,0,-1,-1,-3,0,-1,-4,-1,-2,0,-2,-11,-3,-1,-3,-2,0,0
NYJ,-3,-2,-2,-6,-3,0,-1,2,-1,-2,0,0,2,-3,-1,-2,-3,-1,-2,-12,-3,-16,-3,2,0,-1,-1,-4,-1,-3,1,2
PHI,0,2,-1,3,2,4,-1,1,-2,1,1,3,2,2,3,0,-1,5,1,0,3,1,0,11,1,0,2,-6,0,-3,0,7
PIT,0,3,7,-3,2,-1,8,7,-1,2,1,0,0,4,-1,-1,-1,2,1,1,1,-4,0,3,1,-2,0,0,-2,2,4,1
SEA,10,2,-2,-1,4,-1,0,2,1,1,4,-4,3,3,1,0,0,-5,0,3,2,3,-3,1,4,6,0,0,3,-2,0,1
SF,-2,-1,-2,-3,1,1,1,1,1,0,2,0,1,-1,2,-5,0,5,2,-2,-1,1,1,3,1,0,2,-3,0,1,1,1
TB,1,-2,-3,-2,8,2,-2,0,-2,-1,-1,1,-1,1,2,-1,3,-3,1,1,1,-1,-1,2,3,3,-2,2,-1,0,0,-1
TEN,-1,2,0,-2,0,1,-2,2,0,1,1,0,-2,-4,2,3,-3,-1,-1,2,-1,0,-2,0,-1,0,-4,0,-1,0,0,1
WAS,2,2,-1,-3,2,0,3,0,-10,0,-2,0,0,0,2,-3,-1,-1,3,-1,-3,0,-2,0,-2,-7,-1,-1,-1,1,-1,0
