team,ARI,ATL,BAL,BUF,CAR,CHI,CIN,CLE,DAL,DEN,DET,GB,HOU,IND,JAX,KC,LAC,LAR,LV,MIA,MIN,NE,NO,NYG,NYJ,PHI,PIT,SEA,SF,TB,TEN,WAS
ARI,0,-3,-1,-1,-5,1,0,2,4,-3,-4,0,-2,-1,1,-1,0,-11,1,-1,-2,-2,1,3,3,2,-1,-12,4,-1,1,-1
ATL,1,0,-3,-1,4,-1,-3,-1,0,1,-1,1,1,-2,2,-3,-4,-1,3,-1,-4,-4,-4,3,2,-1,-4,-2,0,0,-1,-1
BAL,1,3,0,0,1,1,-1,10,1,3,2,-1,4,1,1,-6,3,1,-2,3,1,-2,1,0,2,1,-4,1,1,4,1,1
BUF,1,1,0,0,1,1,-3,1,3,2,4,1,-3,2,-1,-1,-1,2,1,13,1,-5,1,1,8,-4,3,1,3,2,3,2
CAR,5,-4,-1,-1,0,-3,0,-1,0,-3,2,-1,4,-1,0,-3,1,0,-1,0,-4,-1,-7,1,3,-2,-3,-4,-1,-6,1,-1
CHI,-1,1,-1,-1,3,0,3,-2,-1,-1,-6,-18,0,-3,1,-1,-1,0,3,-3,-6,-2,-5,1,1,-4,1,0,-1,0,-1,-1
CIN,-2,3,-1,1,0,-3,0,2,-2,0,1,-3,-2,0,3,0,-3,0,4,0,0,-4,1,-1,1,1,-11,1,0,3,3,-3
CLE,-2,1,-10,-3,1,0,-4,0,-1,-2,-1,-1,0,0,1,-5,-5,-3,-3,-1,-1,-5,-2,-1,-3,-1,-11,-3,0,1,0,0
DAL,-4,0,-1,-3,0,1,2,1,0,-3,4,-7,0,1,1,1,0,1,1,1,2,0,0,14,0,2,1,-1,-2,1,1,8
DEN,3,-1,-3,-2,3,1,0,2,3,0,2,0,2,-1,1,-12,4,-3,-4,0,1,-1,1,1,3,-1,-2,-2,1,1,-1,0
DET,4,1,-2,-4,-2,4,-1,1,-6,-2,0,0,-1,1,4,-2,1,-1,1,1,-2,-1,2,4,1,0,-1,-5,-1,2,-1,2
GB,0,-1,-1,-1,1,14,3,1,7,-2,0,0,3,-1,3,2,1,5,1,4,-2,1,0,2,1,-2,0,3,1,0,0,1
HOU,0,-1,-4,3,-4,0,2,0,0,-2,1,-3,0,-5,14,-7,0,-3,0,-1,-3,-3,1,-3,-1,-3,-2,-3,-1,2,6,1
IND,1,2,-1,-2,1,3,0,0,-1,1,-1,1,3,0,-4,-1,0,-4,2,4,0,-2,-3,0,2,-3,-6,-3,1,0,8,1
JAX,-1,-2,-1,1,0,-1,-3,-1,-1,-3,-4,-3,-14,0,0,-5,-1,-3,1,0,-3,-1,-1,1,-2,-4,0,-1,-2,-3,-4,-3
KC,1,3,6,1,3,1,0,5,-1,10,2,-2,5,1,5,0,14,1,14,5,1,2,3,1,3,0,1,1,4,1,-4,3
LAC,0,4,-3,1,-1,1,3,5,-2,-6,-1,-1,-2,0,1,-16,0,1,4,-1,-1,-3,-1,1,4,-1,0,1,1,-3,3,1
LAR,7,-1,-1,-2,0,0,0,3,-1,3,-1,-5,3,4,3,-1,-1,0,4,-3,1,0,3,2,1,-6,-3,7,-5,5,1,1
LV,-1,-3,2,-1,1,-3,-4,3,-1,2,-1,-1,-2,-2,-1,-16,-4,-4,0,-3,-3,0,2,0,2,-1,-2,-1,-1,-1,2,-3
MIA,1,1,-3,-13,0,3,-2,1,-1,0,-1,-4,1,-4,0,-5,1,3,3,0,-1,2,1,0,8,1,-1,-3,2,-3,-1,2
MIN,2,4,-1,-1,4,6,0,1,-4,-1,0,0,3,0,3,-1,1,-1,3,1,0,-1,2,3,4,-3,-1,-4,0,0,1,2
NE,2,4,0,3,1,2,4,5,0,1,1,-1,3,2,1,-2,3,0,0,-4,1,0,0,0,16,-2,5,-2,-1,1,1,1
NO,-1,2,-1,-1,5,5,-1,2,0,-1,-2,0,-1,3,1,-3,1,-3,-2,-1,-2,0,0,3,1,-1,1,3,-2,1,-1,1
NYG,-3,-3,0,-1,-1,-1,1,1,-16,-1,-4,-2,3,0,-1,-1,-1,-2,-2,0,-5,-2,-3,0,-3,-15,-3,-2,-3,-1,1,2
NYJ,-3,-2,-2,-10,-3,-1,-1,3,0,-3,-1,-1,1,-2,0,-3,-4,-1,-2,-10,-4,-18,-3,3,0,-2,0,-4,-1,-3,3,3
PHI,-2,1,-1,2,2,4,-1,1,-2,1,0,2,3,3,4,0,-1,6,-1,-1,3,2,1,15,2,0,2,-7,0,-4,1,3
PIT,1,4,0,-3,3,-1,11,9,-1,2,-1,0,2,6,0,-1,0,3,2,-1,1,-5,-1,3,0,-2,0,-1,-1,1,5,1
SEA,12,0,-1,-1,2,0,-1,3,1,2,5,-3,3,1,1,-1,-1,-9,1,3,4,2,-3,2,4,7,1,0,5,-2,0,2
SF,-4,0,-1,-3,1,-1,0,0,2,-1,1,-1,1,-3,2,-4,-1,5,1,-2,0,1,2,3,1,0,1,-7,0,1,-1,2
TB,1,-2,-4,-2,2,0,-3,-1,-1,-1,-2,0,-2,0,3,-1,3,-5,1,1,0,-1,-3,1,3,4,-1,2,-1,0,-1,-1
TEN,-1,1,-1,-3,-1,1,-3,-2,-1,1,1,0,-6,-8,2,2,-3,-1,-2,1,-1,-1,-1,-1,-3,-1,-5,0,-1,1,0,0
WAS,1,1,-1,-2,1,1,3,0,-10,0,-2,-1,-1,-1,3,-3,-1,-1,3,-2,-4,-1,-1,-4,-3,-7,-1,-2,-2,1,0,0
