team,ARI,ATL,BAL,BUF,CAR,CHI,CIN,CLE,DAL,DEN,DET,GB,HOU,IND,JAX,KC,LAC,LAR,LV,MIA,MIN,NE,NO,NYG,NYJ,PHI,PIT,SEA,SF,TB,TEN,WAS
ARI,0,-1,-2,0,-2,0,-1,1,4,-2,-5,-2,-1,-2,0,-2,-1,-11,0,0,-2,-1,1,1,2,1,0,-10,-2,-3,0,-2
ATL,-1,0,-2,0,2,-1,-2,0,-2,0,-1,-1,0,-1,1,-2,-3,-3,2,0,-1,-2,-6,3,1,0,-3,-3,0,-2,-2,-2
BAL,2,2,0,-1,0,2,3,4,2,4,1,-2,4,1,1,-5,3,0,-1,1,2,0,0,1,3,0,-5,2,2,3,1,2
BUF,0,0,1,0,2,0,0,-1,2,2,3,0,-3,0,0,0,1,1,2,11,0,-1,2,2,6,-3,4,2,2,1,2,3
CAR,2,-2,0,-2,0,-3,-1,-2,-1,-1,0,-2,3,-2,-1,-2,0,-1,0,-1,-3,-2,-6,0,2,-1,-2,-3,-3,-10,0,-3
CHI,0,1,-2,0,3,0,2,-3,1,0,0,-12,1,-2,2,-2,-2,-1,2,-2,-2,-1,-3,2,0,-2,0,1,-1,0,0,1
CIN,-1,2,-5,0,1,-2,0,-4,-1,0,0,-2,0,1,3,-1,-4,-1,3,-1,1,-2,0,0,0,0,-4,0,-1,2,3,-2
CLE,-1,0,-4,-1,2,1,2,0,0,-1,0,0,2,2,3,-4,-4,-2,-3,0,0,-4,-3,0,0,0,-5,-2,-1,0,0,1
DAL,-4,2,-2,-2,1,-1,1,0,0,-2,2,-4,-1,0,0,0,1,1,0,0,1,1,0,12,1,2,0,0,-3,1,0,4
DEN,2,0,-4,-2,1,0,0,1,2,0,1,-1,1,-2,0,-10,0,-2,-4,0,0,0,0,2,1,0,-2,-1,0,0,0,1
DET,5,1,-1,-3,0,-2,0,0,-2,-1,0,0,0,0,3,-1,2,-1,0,0,-4,0,0,3,0,-2,0,-3,-2,0,0,1
GB,2,1,0,0,2,10,2,0,4,-1,0,0,2,0,2,1,0,4,0,3,-2,0,2,0,0,-4,1,2,0,-2,1,1
HOU,-1,0,-4,3,-3,-1,0,-2,1,-1,0,-2,0,-3,10,-3,1,-2,-1,0,-2,1,0,-2,-2,-2,0,-2,0,1,2,0
IND,2,1,-1,0,2,2,-1,-2,0,2,0,0,1,0,-4,0,-1,-3,3,3,-1,1,-2,-1,2,-2,-2,-2,0,-1,4,0
JAX,0,-1,-1,0,1,-2,-3,-3,0,-2,-3,-2,-10,2,0,-4,1,-2,2,0,-2,1,0,0,0,-3,-1,-2,-1,-2,-2,-2
KC,2,2,5,0,2,2,1,4,0,8,1,-1,3,0,4,0,6,0,10,3,2,1,2,2,2,-1,4,0,5,2,-1,2
LAC,1,3,-3,-1,0,2,4,4,-3,-2,-2,0,-3,1,-1,-8,0,0,4,1,0,-1,0,0,2,0,1,0,0,-2,2,0
LAR,9,1,0,-1,1,1,1,2,-1,2,-1,-4,2,3,2,0,0,0,3,-2,4,1,3,3,0,-4,-2,5,-3,2,0,2
LV,0,-2,1,-2,0,-2,-3,3,0,4,0,0,-1,-3,-2,-12,-4,-3,0,-3,-2,2,1,-1,1,0,-1,0,-2,-2,-1,-2
MIA,0,0,-1,-11,1,2,-1,0,0,0,0,-3,0,-3,0,-3,-1,2,3,0,-2,4,2,1,10,0,-1,-2,1,-2,-2,1
MIN,2,1,-2,0,3,2,-1,0,-3,0,2,0,2,1,2,-2,0,-4,2,2,0,0,1,1,3,-1,0,-2,1,-2,0,3
NE,1,2,-2,-1,2,1,2,4,-1,0,0,0,-1,-1,-1,-1,1,-1,-2,-6,0,0,-1,1,10,0,1,-2,-2,0,-1,0
NO,-1,4,0,-2,4,3,0,3,0,0,0,-2,0,2,0,-2,0,-3,-1,-2,-1,1,0,3,0,0,0,2,-2,1,0,1
NYG,-1,-3,-1,-2,0,-2,0,0,-14,-2,-3,0,2,1,0,-2,0,-3,-1,-1,-3,-1,-3,0,-2,-9,-2,0,-2,-1,0,0
NYJ,-2,-1,-3,-8,-2,0,0,0,-1,-1,0,0,2,-2,-2,-2,-2,0,-1,-10,-3,-12,-2,2,0,-1,0,-3,-2,-2,1,2
PHI,-1,0,0,1,1,2,0,0,-2,0,2,4,2,2,3,1,-2,4,-2,0,1,0,0,9,1,0,1,-4,0,-3,0,5
PIT,0,3,3,-4,2,0,4,3,0,2,-2,-1,0,2,1,-4,-1,2,1,-1,0,-1,0,2,0,-1,0,0,-2,2,3,0
SEA,10,3,-2,-2,1,-1,0,2,0,1,3,-2,2,0,2,0,0,-7,0,2,2,2,-2,0,3,4,0,0,-3,-1,1,2
SF,2,0,-2,-2,3,-1,1,1,3,0,2,0,0,-2,1,-5,0,3,2,-1,-1,2,2,2,2,0,2,1,0,2,-2,2
TB,3,0,-3,-1,6,0,-2,0,-1,0,0,2,-1,1,2,-2,2,-2,2,0,2,0,-1,1,2,3,-2,1,-2,0,0,-1
TEN,0,2,-1,-2,0,0,-3,0,0,0,0,-1,-2,-4,0,-1,-2,0,1,2,0,1,-2,0,-1,0,-3,-1,0,0,0,1
WAS,2,2,-2,-3,3,-1,2,-1,-6,-1,-1,-1,0,0,2,-2,0,-2,2,-1,-3,0,-1,-2,-2,-9,0,-2,-2,1,-1,0
