season,week,game_id,home_game_date,home_team,away_team,home_points_for,away_points_for,point_diff,winner,home_prior_pf_avg_3,home_prior_pa_avg_3,home_prior_win_pct_3,home_prior_off_epa_per_play_3,home_prior_off_success_rate_3,home_prior_off_pass_rate_3,home_prior_off_expected_pass_rate_3,home_prior_def_success_rate_allowed_3,home_prior_def_epa_per_play_3,home_prior_off_total_plays_3,home_prior_pf_avg_5,home_prior_pa_avg_5,home_prior_win_pct_5,home_prior_off_epa_per_play_5,home_prior_off_success_rate_5,home_prior_off_pass_rate_5,home_prior_off_expected_pass_rate_5,home_prior_def_success_rate_allowed_5,home_prior_def_epa_per_play_5,home_prior_off_total_plays_5,away_prior_pf_avg_3,away_prior_pa_avg_3,away_prior_win_pct_3,away_prior_off_epa_per_play_3,away_prior_off_success_rate_3,away_prior_off_pass_rate_3,away_prior_off_expected_pass_rate_3,away_prior_def_success_rate_allowed_3,away_prior_def_epa_per_play_3,away_prior_off_total_plays_3,away_prior_pf_avg_5,away_prior_pa_avg_5,away_prior_win_pct_5,away_prior_off_epa_per_play_5,away_prior_off_success_rate_5,away_prior_off_pass_rate_5,away_prior_off_expected_pass_rate_5,away_prior_def_success_rate_allowed_5,away_prior_def_epa_per_play_5,away_prior_off_total_plays_5,home_minus_away_pf_avg_3,home_minus_away_pa_avg_3,home_minus_away_win_pct_3,home_minus_away_off_epa_per_play_3,home_minus_away_off_success_rate_3,home_minus_away_off_pass_rate_3,home_minus_away_off_expected_pass_rate_3,home_minus_away_def_success_rate_allowed_3,home_minus_away_def_epa_per_play_3,home_minus_away_off_total_plays_3,home_minus_away_pf_avg_5,home_minus_away_pa_avg_5,home_minus_away_win_pct_5,home_minus_away_off_epa_per_play_5,home_minus_away_off_success_rate_5,home_minus_away_off_pass_rate_5,home_minus_away_off_expected_pass_rate_5,home_minus_away_def_success_rate_allowed_5,home_minus_away_def_epa_per_play_5,home_minus_away_off_total_plays_5,home_moneyline_prob,away_moneyline_prob,moneyline_prob_diff,spread_line,total_line,home_rest,away_rest,rest_diff,home_player_stats_team_qb_pass_yards,home_player_stats_team_qb_pass_tds,home_player_stats_team_qb_completions,home_player_stats_team_qb_attempts,home_player_stats_team_qb_completion_pct,home_player_stats_team_rb_rush_yards,home_player_stats_team_rb_rush_tds,home_player_stats_team_rb_receptions,home_player_stats_team_rb_receiving_yards,home_player_stats_team_wr_targets,home_player_stats_team_wr_receptions,home_player_stats_team_wr_receiving_yards,home_player_stats_team_wr_receiving_tds,away_player_stats_team_qb_pass_yards,away_player_stats_team_qb_pass_tds,away_player_stats_team_qb_completions,away_player_stats_team_qb_attempts,away_player_stats_team_qb_completion_pct,away_player_stats_team_rb_rush_yards,away_player_stats_team_rb_rush_tds,away_player_stats_team_rb_receptions,away_player_stats_team_rb_receiving_yards,away_player_stats_team_wr_targets,away_player_stats_team_wr_receptions,away_player_stats_team_wr_receiving_yards,away_player_stats_team_wr_receiving_tds,has_home_team,home_elo_pre,away_elo_pre,elo_diff_pre,home_elo_post,away_elo_post,home_rolling_pf_3,home_rolling_pa_3,home_rolling_win_pct_3,home_rolling_pf_5,home_rolling_pa_5,home_rolling_win_pct_5,home_rolling_pf_10,home_rolling_pa_10,home_rolling_win_pct_10,away_rolling_pf_3,away_rolling_pa_3,away_rolling_win_pct_3,away_rolling_pf_5,away_rolling_pa_5,away_rolling_win_pct_5,away_rolling_pf_10,away_rolling_pa_10,away_rolling_win_pct_10,home_win
2016,1,2016_01_BUF_BAL,2016-09-11,BAL,BUF,13.0,7.0,6.0,BAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6254681647940075,0.398406374501992,0.22706179029201545,3.0,44.5,7,7,0,258.0,1.0,22.0,33.0,0.6666666666666666,73.0,0.0,4.0,21.0,25.0,16.0,216.0,1.0,111.0,0.0,15.0,22.0,0.6818181818181818,54.0,1.0,5.0,8.0,16.0,10.0,103.0,0.0,True,1500.0,1500.0,0.0,1516.0,1484.0,,,,,,,,,,,,,,,,,,,True
2016,1,2016_01_CAR_DEN,2016-09-08,DEN,CAR,21.0,20.0,1.0,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.423728813559322,0.6,-0.17627118644067796,-3.0,40.5,7,7,0,178.0,1.0,18.0,26.0,0.6923076923076923,100.0,1.0,5.0,53.0,20.0,13.0,125.0,0.0,194.0,1.0,18.0,33.0,0.5454545454545454,77.0,0.0,1.0,4.0,28.0,16.0,189.0,1.0,True,1500.0,1500.0,0.0,1516.0,1484.0,,,,,,,,,,,,,,,,,,,True
2016,1,2016_01_CHI_HOU,2016-09-11,HOU,CHI,23.0,14.0,9.0,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7014925373134329,0.3225806451612903,0.37891189215214255,5.5,43.0,7,7,0,231.0,2.0,22.0,35.0,0.6285714285714286,113.0,0.0,5.0,16.0,29.0,17.0,215.0,2.0,216.0,1.0,16.0,29.0,0.5517241379310345,61.0,1.0,2.0,6.0,24.0,14.0,210.0,1.0,True,1500.0,1500.0,0.0,1516.0,1484.0,,,,,,,,,,,,,,,,,,,True
2016,1,2016_01_CIN_NYJ,2016-09-11,NYJ,CIN,22.0,23.0,-1.0,CIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5391705069124424,0.4854368932038835,0.05373361370855889,1.0,42.0,7,7,0,189.0,2.0,19.0,35.0,0.5428571428571428,137.0,0.0,7.0,66.0,23.0,12.0,123.0,2.0,366.0,1.0,23.0,30.0,0.7666666666666667,56.0,1.0,2.0,5.0,26.0,21.0,361.0,1.0,True,1500.0,1500.0,0.0,1484.0,1516.0,,,,,,,,,,,,,,,,,,,False
2016,1,2016_01_CLE_PHI,2016-09-11,PHI,CLE,29.0,10.0,19.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6428571428571429,0.3816793893129771,0.2611777535441658,3.5,41.0,7,7,0,278.0,2.0,22.0,37.0,0.5945945945945946,132.0,1.0,2.0,24.0,32.0,20.0,254.0,2.0,190.0,0.0,12.0,26.0,0.46153846153846156,84.0,1.0,7.0,53.0,17.0,5.0,137.0,0.0,True,1500.0,1500.0,0.0,1516.0,1484.0,,,,,,,,,,,,,,,,,,,True
2016,1,2016_01_DET_IND,2016-09-11,IND,DET,35.0,39.0,-4.0,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5918367346938775,0.4329004329004329,0.15893630179344465,2.5,51.5,7,7,0,385.0,4.0,31.0,47.0,0.6595744680851063,61.0,0.0,8.0,60.0,35.0,23.0,325.0,4.0,340.0,3.0,31.0,39.0,0.7948717948717948,109.0,2.0,10.0,120.0,27.0,21.0,220.0,1.0,True,1500.0,1500.0,0.0,1484.0,1516.0,,,,,,,,,,,,,,,,,,,False
2016,1,2016_01_GB_JAX,2016-09-11,JAX,GB,23.0,27.0,-4.0,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3831417624521073,0.6415770609318996,-0.2584352984797923,-3.5,47.0,7,7,0,320.0,1.0,24.0,39.0,0.6153846153846154,46.0,1.0,4.0,30.0,33.0,20.0,290.0,1.0,199.0,2.0,20.0,34.0,0.5882352941176471,68.0,0.0,2.0,23.0,30.0,18.0,176.0,2.0,True,1500.0,1500.0,0.0,1484.0,1516.0,,,,,,,,,,,,,,,,,,,False
2016,1,2016_01_LA_SF,2016-09-12,SF,LAR,28.0,0.0,28.0,SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4672897196261682,0.5575221238938053,-0.09023240426763707,-2.5,44.0,7,7,0,170.0,1.0,22.0,35.0,0.6285714285714286,107.0,3.0,4.0,23.0,29.0,17.0,163.0,1.0,,,,,,,,,,,,,,True,1500.0,1500.0,0.0,1516.0,1484.0,,,,,,,,,,,,,,,,,,,True
2016,1,2016_01_MIA_SEA,2016-09-11,SEA,MIA,12.0,10.0,2.0,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8333333333333334,0.19120458891013384,0.6421287444231996,10.5,43.5,7,7,0,258.0,1.0,27.0,43.0,0.627906976744186,96.0,0.0,6.0,44.0,33.0,21.0,214.0,1.0,186.0,0.0,16.0,29.0,0.5517241379310345,47.0,0.0,4.0,91.0,20.0,12.0,95.0,0.0,True,1500.0,1500.0,0.0,1516.0,1484.0,,,,,,,,,,,,,,,,,,,True
2016,1,2016_01_MIN_TEN,2016-09-11,TEN,MIN,16.0,25.0,-9.0,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46511627906976744,0.5594713656387665,-0.0943550865689991,-2.5,40.0,7,7,0,271.0,2.0,25.0,41.0,0.6097560975609756,45.0,0.0,7.0,76.0,32.0,18.0,195.0,0.0,236.0,0.0,18.0,33.0,0.5454545454545454,58.0,0.0,2.0,9.0,28.0,16.0,227.0,0.0,True,1500.0,1500.0,0.0,1484.0,1516.0,,,,,,,,,,,,,,,,,,,False
2016,1,2016_01_NE_ARI,2016-09-11,ARI,NE,21.0,23.0,-2.0,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7916666666666666,0.23255813953488372,0.5591085271317829,9.0,44.5,7,7,0,271.0,2.0,24.0,37.0,0.6486486486486487,91.0,1.0,6.0,51.0,29.0,18.0,220.0,2.0,264.0,1.0,24.0,33.0,0.7272727272727273,78.0,1.0,5.0,40.0,25.0,18.0,221.0,1.0,True,1500.0,1500.0,0.0,1484.0,1516.0,,,,,,,,,,,,,,,,,,,False
2016,1,2016_01_NYG_DAL,2016-09-11,DAL,NYG,19.0,20.0,-1.0,NYG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5305164319248826,0.49504950495049505,0.03546692697438758,1.0,47.5,7,7,0,227.0,0.0,25.0,45.0,0.5555555555555556,86.0,1.0,2.0,17.0,38.0,23.0,210.0,0.0,207.0,3.0,19.0,28.0,0.6785714285714286,113.0,0.0,4.0,26.0,21.0,15.0,181.0,3.0,True,1500.0,1500.0,0.0,1484.0,1516.0,,,,,,,,,,,,,,,,,,,False
2016,1,2016_01_OAK_NO,2016-09-11,NO,LV,34.0,35.0,-1.0,LV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5951417004048583,0.4291845493562232,0.16595715104863507,2.5,50.0,7,7,0,423.0,4.0,28.0,42.0,0.6666666666666666,68.0,0.0,6.0,44.0,28.0,22.0,379.0,3.0,319.0,1.0,24.0,38.0,0.631578947368421,151.0,3.0,6.0,51.0,30.0,18.0,268.0,1.0,True,1500.0,1500.0,0.0,1484.0,1516.0,,,,,,,,,,,,,,,,,,,False
2016,1,2016_01_PIT_WAS,2016-09-12,WAS,PIT,16.0,38.0,-22.0,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45248868778280543,0.5726495726495726,-0.12016088486676718,-2.5,49.0,7,7,0,329.0,0.0,30.0,43.0,0.6976744186046512,47.0,1.0,3.0,25.0,40.0,27.0,304.0,0.0,300.0,3.0,27.0,37.0,0.7297297297297297,149.0,2.0,6.0,28.0,28.0,21.0,272.0,3.0,True,1500.0,1500.0,0.0,1484.0,1516.0,,,,,,,,,,,,,,,,,,,False
2016,1,2016_01_SD_KC,2016-09-11,KC,LAC,33.0,27.0,6.0,KC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7333333333333333,0.29069767441860467,0.4426356589147286,6.5,45.5,7,7,0,363.0,2.0,34.0,48.0,0.7083333333333334,69.0,1.0,13.0,153.0,31.0,21.0,210.0,2.0,243.0,1.0,25.0,36.0,0.6944444444444444,146.0,2.0,5.0,31.0,29.0,20.0,212.0,0.0,True,1500.0,1500.0,0.0,1516.0,1484.0,,,,,,,,,,,,,,,,,,,True
2016,1,2016_01_TB_ATL,2016-09-11,ATL,TB,24.0,31.0,-7.0,TB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5708154506437768,0.45454545454545453,0.11626999609832228,2.5,46.5,7,7,0,334.0,2.0,27.0,39.0,0.6923076923076923,42.0,0.0,10.0,123.0,27.0,17.0,211.0,2.0,281.0,4.0,23.0,32.0,0.71875,71.0,0.0,8.0,66.0,24.0,15.0,215.0,3.0,True,1500.0,1500.0,0.0,1484.0,1516.0,,,,,,,,,,,,,,,,,,,False
